"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"93",122,"Maytenus obtusifolia",1424312714,-22.60583,-42.0175,"cdround,gass84",23348592,230,77,58,1796,295,163,132,243,207,254,207,1013,149,39,40,387,120,315,120
"94",123,"Maytenus obtusifolia",1135817228,-4.29717,-38.93306,"gass84",19555706,216,82,75,560,272,163,109,214,219,222,208,1533,305,24,80,840,76,195,256
"95",125,"Maytenus obtusifolia",1094775669,-16.01444,-39.07111,"gass84,iddatunl",21983543,239,75,66,1213,293,180,113,223,253,253,221,1475,159,90,18,450,303,303,406
"96",126,"Maytenus obtusifolia",1077304372,-6.72028,-35.18222,"cdround,gass84,iddatunl",20056916,248,93,73,1226,312,185,127,244,255,261,230,1190,183,21,60,517,76,279,450
"97",127,"Maytenus obtusifolia",1077304387,-6.6975,-35.12278,"cdround,gass84,iddatunl",20048278,249,90,72,1190,311,187,124,245,256,261,231,1363,209,25,60,593,89,322,510
"98",128,"Maytenus obtusifolia",1123801804,-19.93139,-40.6075,"gass84",22795666,205,101,64,1671,283,126,157,220,185,226,183,1301,207,39,52,585,143,411,153
"99",129,"Maytenus obtusifolia",1077210861,-11.93333,-38.08333,"gass84",21136847,237,85,67,1489,302,176,126,233,235,253,216,1332,192,64,37,512,219,266,402
"100",130,"Maytenus obtusifolia",1587302284,-22.24667,-41.59111,"gass84,iddatunl",23270842,230,87,58,1950,302,152,150,244,205,256,205,1101,160,39,43,436,121,337,121
"101",131,"Maytenus obtusifolia",1213578088,-11.57556,-41.165,"gass84,iddatunl",21059013,203,96,72,1354,267,135,132,213,200,216,183,692,109,16,53,289,72,252,96
"102",132,"Maytenus obtusifolia",1090566094,-23.2178,-44.7131,"gass84",23478127,229,96,58,2152,308,143,165,255,201,257,201,2243,292,90,41,851,276,843,276
"103",133,"Maytenus obtusifolia",1090868897,-18.33333,-39.73222,"gass84",22458727,240,81,62,1521,305,176,129,252,220,260,220,1365,182,71,33,499,234,354,234
"104",134,"Maytenus obtusifolia",1090866261,-20.12861,-40.30722,"gass84",22838873,240,83,61,1663,311,175,136,254,219,262,219,1135,186,46,46,486,161,303,161
"105",135,"Maytenus obtusifolia",1094764487,-12.18194,-38.41111,"gass84,iddatunl",21188679,235,82,65,1544,299,173,126,229,250,251,213,1514,247,70,43,611,232,277,478
"106",136,"Maytenus obtusifolia",1077559932,-5.92917,-35.1875,"gass84",19892756,258,86,74,1047,314,198,116,255,263,269,242,1403,226,20,68,647,69,339,516
"107",137,"Maytenus obtusifolia",1094756453,-12.22639,-37.92833,"gass84,iddatunl",21197330,242,79,67,1382,302,185,117,238,253,257,222,1788,307,69,49,770,248,320,579
"108",138,"Maytenus obtusifolia",1094756430,-12.29139,-37.89722,"gass84,iddatunl",21205971,243,78,67,1344,303,187,116,239,254,258,224,1802,307,69,49,781,249,321,578
"109",139,"Maytenus obtusifolia",1123794004,-19.97139,-40.53028,"gass84",22804308,212,98,64,1655,288,135,153,226,191,233,191,1272,203,40,51,567,147,390,156
"110",142,"Maytenus obtusifolia",1090875841,-20.3194,-40.3378,"gass84",22873432,246,77,58,1672,317,185,132,261,226,269,226,1141,185,51,44,476,168,296,168
"111",143,"Maytenus obtusifolia",1260347014,-7.18611,-37.43139,"cdround,gass84,iddatunl",20151902,241,91,71,1327,308,181,127,250,234,255,221,871,237,3,114,614,12,250,58
"112",144,"Maytenus obtusifolia",1587302013,-23.98333,-46.73333,"gass84,iddatunl",23633599,170,90,56,2318,244,85,159,199,140,199,140,2594,327,100,39,946,317,946,317
"113",145,"Maytenus obtusifolia",1090697516,-19.28806,-39.69278,"gass84,iddatunl",22657448,241,82,61,1605,309,175,134,255,220,262,220,1263,182,52,41,505,186,344,186
"114",146,"Maytenus obtusifolia",1806851393,-21.28028,-40.96889,"gass84,iddatunl",23072137,232,84,59,1796,296,155,141,246,207,255,207,961,166,26,50,409,97,265,97
"115",149,"Maytenus obtusifolia",1090871367,-20.40694,-40.32667,"gass84,iddatunl",22890713,247,75,58,1669,316,187,129,261,227,270,227,1128,180,51,42,463,171,287,171
"116",150,"Maytenus obtusifolia",1097458991,-8.6,-38.5708,"gass84,iddatunl",20445635,255,99,70,1526,328,187,141,267,255,268,233,543,133,4,88,298,16,96,56
"117",151,"Maytenus obtusifolia",1090842121,-8.625,-37.15417,"gass84",20454309,217,93,67,1681,290,152,138,220,222,233,191,762,117,17,54,325,61,165,211
"118",153,"Maytenus obtusifolia",1265936417,-11.16472,-40.50472,"gass84",20972628,232,103,70,1448,304,158,146,246,227,246,209,855,119,27,40,303,104,303,152
"119",154,"Maytenus obtusifolia",1094742244,-11.15,-40.5,"gass84,iddatunl",20972629,217,102,70,1481,290,146,144,232,212,232,194,898,121,27,37,305,109,305,180
"120",156,"Maytenus obtusifolia",1090863512,-19.44167,-39.74667,"gass84",22692007,242,82,60,1678,310,174,136,255,222,264,220,1245,182,50,42,506,181,340,182
