"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"825",1059,"Trichilia hirta",1439033103,18.96472,-104.04417,"cdround,elmms,gass84",14724383,264,123,72,1704,338,168,170,282,244,284,242,827,222,2,107,545,8,418,25
"826",1060,"Trichilia hirta",1259262294,15.69,-92.09,"gass84,iddatunl",15407230,241,140,70,1356,341,141,200,247,230,257,222,1735,381,11,96,933,33,490,76
"827",1061,"Trichilia hirta",1259262513,9.2175,-78.9575,"gass84,iddatunl",16746746,262,75,78,406,311,215,96,258,262,268,257,2225,413,13,65,949,78,362,801
"828",1062,"Trichilia hirta",1259261264,16.56556,-93.40167,"cdround,gass84,iddatunl",15225759,218,129,69,1533,306,121,185,229,204,234,196,1208,253,11,97,712,39,342,39
"829",1063,"Trichilia hirta",1098158270,-15.5,-44.5,"gass84,iddatunl",21879733,240,133,68,1432,331,137,194,247,219,253,219,916,210,1,94,544,4,265,13
"830",1064,"Trichilia hirta",1143434071,-15.3,-44.3,"gass84",21836537,238,127,68,1339,326,141,185,245,219,251,219,1013,245,1,96,606,4,287,12
"831",1065,"Trichilia hirta",1259261768,7.66,-80.11861,"gass84,iddatunl",17075038,269,91,81,548,330,219,111,263,273,277,263,1280,205,0,74,549,15,153,549
"832",1066,"Trichilia hirta",1259263955,7.76666,-80.35,"gass84,iddatunl",17049112,268,95,79,670,334,215,119,261,273,278,261,1174,257,1,81,576,21,122,576
"833",1067,"Trichilia hirta",1422186968,16.71621,-93.5241,"cdround,elmms,gass84",15191196,238,123,69,1696,325,147,178,251,223,256,214,818,168,6,97,472,20,245,38
"834",1069,"Trichilia hirta",1419360931,19.34306,-96.46667,"cdround,elmms,gass84",14646805,253,109,61,2265,336,159,177,269,226,275,220,1079,258,11,104,678,42,261,46
"835",1071,"Trichilia hirta",1439035587,8.96889,-79.56972,"cdround,elmms,gass84",16798571,270,79,75,530,326,222,104,264,271,277,264,1865,296,12,60,758,73,308,670
"836",1072,"Trichilia hirta",1439057376,19.34806,-96.36611,"cdround,elmms,gass84",14646808,256,99,60,2271,331,166,165,277,229,278,223,1218,294,14,103,764,46,571,49
"837",1073,"Trichilia hirta",1259263855,9.16361,-79.82805,"elnn,gass84,iddatunl",16764005,266,68,73,715,316,223,93,260,267,276,258,2524,383,25,56,995,124,393,672
"838",1074,"Trichilia hirta",1419420456,19.25,-96.54,"elmms,gass84",14672724,252,115,61,2254,342,156,186,266,226,276,219,1010,222,14,95,594,52,262,53
"839",1075,"Trichilia hirta",1259262382,8.97472,-79.59027,"gass84,iddatunl",16798570,267,77,74,549,324,221,103,262,269,275,261,1974,311,11,61,805,70,322,696
"840",1076,"Trichilia hirta",1258516052,21.2,-89.66667,"cdround,elnn,gass84",14266808,255,80,62,1800,315,187,128,271,249,272,228,592,110,11,64,262,45,242,72
"841",1077,"Trichilia hirta",1439046644,21.23306,-89.65028,"cdround,gass84",14258169,255,78,62,1786,313,188,125,267,249,271,228,545,101,11,62,238,44,182,70
"842",1078,"Trichilia hirta",1259262083,9.44583,-79.74583,"gass84,iddatunl",16703527,263,64,71,744,310,221,89,254,262,273,254,3474,550,50,53,1285,228,537,1017
"843",1079,"Trichilia hirta",1097925539,-14.86,-39.66,"gass84,iddatunl",21741609,235,74,64,1175,291,176,115,244,231,249,219,1148,130,55,23,360,211,324,254
"844",1081,"Trichilia hirta",1421857698,17.79167,-95.80833,"cdround,gass84",14966501,259,109,59,2306,354,172,182,273,255,285,226,2123,423,38,83,1161,119,462,157
"845",1082,"Trichilia hirta",1419459300,17.75278,-95.77497,"cdround",14975142,256,109,59,2280,351,169,182,270,252,282,223,2227,452,41,81,1208,132,477,173
"846",1083,"Trichilia hirta",1439032067,17.21611,-89.63139,"cdround,gass84",15087609,251,83,56,1939,321,175,146,267,247,270,222,1355,215,34,51,503,133,383,165
